file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
influenza,3,1397818548,6291456, 3.52,516725416,6291456, 0.55,24786827,154808555
influenza,4,1238473584,6291456, 3.25,366327796,6291456, 0.41,25523924,154808555
influenza,5,1145588459,6291456, 3.24,309638294,6291456, 0.33,25905283,154808555
influenza,6,1083665040,6291456, 3.16,278701984,6291456, 0.32,26064988,154808555
influenza,7,1039434040,6291456, 3.20,258169692,6291456, 0.30,26886185,154808555
influenza,8,1006260796,6291456, 3.25,243804748,6291456, 0.31,29101700,154808555
influenza,9,980459367,6291456, 3.15,233974485,6291456, 0.31,30751728,154808555
influenza,15,897894909,6291456, 3.07,211146441,6291456, 0.26,37505798,154808555
influenza,30,835971624,6291456, 3.09,211229726,6291456, 0.31,49557806,154808555
influenza,60,805010120,6291456, 2.78,236263588,6291456, 0.27,78138272,154808555
