file,coverage,peak_comp,stack_comp,compression_time,peak_decomp,stack_decomp,decompression_time,compressed_size,plain_size
proteins.001.1,3,946795674,6291456, 3.03,353087692,6291456, 0.38,,
proteins.001.1,4,838865932,6291456, 2.48,246145872,6291456, 0.31,,
proteins.001.1,5,775951376,6291456, 2.54,212334418,6291456, 0.27,,
proteins.001.1,6,734008374,6291456, 2.39,191446374,6291456, 0.23,,
proteins.001.1,7,704049094,6291456, 2.48,179563953,6291456, 0.21,,
proteins.001.1,8,681579548,6291456, 2.22,166534112,6291456, 0.19,,
proteins.001.1,9,664103341,6291456, 2.38,163543473,6291456, 0.21,,
proteins.001.1,15,608179297,6291456, 2.19,145496936,6291456, 0.18,,
proteins.001.1,30,566236448,6291456, 2.14,133779156,6291456, 0.20,,
proteins.001.1,60,545265192,6291456, 2.03,131355868,6291456, 0.16,,
